Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,ValidPostalCode,FullName
480934,Cecilia,Householder,Cecilia Householder,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,,3839.14,Standard,True,Cecilia Householder
549612,Dayle,Menez,Dayle Menez,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Male,College,Rural,0.0,Divorced,Star,2019-03-09,,3839.61,Standard,True,Dayle Menez
429460,Necole,Hannon,Necole Hannon,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,True,Necole Hannon
608370,Queen,Hagee,Queen Hagee,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,College,Suburban,0.0,Single,Star,2016-02-17,,3839.75,Standard,True,Queen Hagee
530508,Claire,Latting,Claire Latting,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,,3842.79,2021 Promotion,True,Claire Latting
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,Male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,True,Leatrice Hanlin
927943,Hue,Sellner,Hue Sellner,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Female,College,Urban,0.0,Single,Star,2017-06-09,,3857.95,Standard,True,Hue Sellner
188893,Nakia,Cash,Nakia Cash,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,,3861.49,Standard,True,Nakia Cash
852392,Arlene,Conterras,Arlene Conterras,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,,3861.49,Standard,True,Arlene Conterras
866307,Dustin,Recine,Dustin Recine,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,,3861.49,Standard,True,Dustin Recine
932823,Jeremy,Dickason,Jeremy Dickason,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,,3863.31,Standard,True,Jeremy Dickason
144514,Belkis,Siurek,Belkis Siurek,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Female,Bachelor,Urban,24204.0,Married,Star,2019-06-11,,3864.78,Standard,True,Belkis Siurek
611765,Marjorie,Pangelina,Marjorie Pangelina,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Male,Bachelor,Suburban,79628.0,Single,Star,2021-01-28,,3867.97,Standard,True,Marjorie Pangelina
988178,Andre,Cotugno,Andre Cotugno,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,College,Rural,0.0,Single,Star,2016-10-13,,3871.07,Standard,True,Andre Cotugno
286114,Vikki,Rengers,Vikki Rengers,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,College,Rural,0.0,Single,Star,2019-11-29,,3872.22,Standard,True,Vikki Rengers
205785,Johnathan,Cannizzaro,Johnathan Cannizzaro,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Male,Master,Rural,28142.0,Married,Star,2019-08-25,,3873.65,Standard,True,Johnathan Cannizzaro
735304,Lang,Privatsky,Lang Privatsky,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Female,Master,Urban,28142.0,Married,Star,2019-12-06,,3873.65,Standard,True,Lang Privatsky
438936,Bernie,Schlagel,Bernie Schlagel,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,Bachelor,Rural,84981.0,Married,Star,2016-10-30,,3878.77,Standard,True,Bernie Schlagel
243713,Doloris,Buben,Doloris Buben,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Female,College,Rural,0.0,Married,Star,2021-02-09,,3883.4,2021 Promotion,True,Doloris Buben
354730,Herbert,Cantabrana,Herbert Cantabrana,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,College,Urban,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,True,Herbert Cantabrana
413741,Mitchell,Hinchliff,Mitchell Hinchliff,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,College,Urban,0.0,Married,Star,2018-07-30,,3885.46,Standard,True,Mitchell Hinchliff
552965,Lia,Broome,Lia Broome,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,College,Rural,0.0,Married,Star,2021-11-18,,3885.46,Standard,True,Lia Broome
642313,Michel,Theuret,Michel Theuret,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,College,Suburban,0.0,Married,Star,2019-03-22,,3885.46,Standard,True,Michel Theuret
263080,Tracy,Hergenreter,Tracy Hergenreter,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,College,Urban,0.0,Single,Star,2017-05-21,,3886.5,Standard,True,Tracy Hergenreter
109767,Ami,Grosbier,Ami Grosbier,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Bachelor,Suburban,78108.0,Single,Star,2019-05-21,,3886.65,Standard,True,Ami Grosbier
217754,Mitzi,Roaoo,Mitzi Roaoo,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Female,Bachelor,Urban,96335.0,Single,Star,2018-06-20,,3887.32,Standard,True,Mitzi Roaoo
157005,Tanika,Quire,Tanika Quire,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Rural,91182.0,Married,Star,2019-10-31,,3890.87,Standard,True,Tanika Quire
557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Bachelor,Suburban,91182.0,Married,Star,2020-10-09,,3890.87,Standard,True,Sherilyn Fujikawa
608758,Rhona,Interiano,Rhona Interiano,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,Bachelor,Rural,43578.0,Married,Star,2016-07-15,,3890.96,Standard,True,Rhona Interiano
599341,Shaunna,Books,Shaunna Books,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,Bachelor,Rural,31409.0,Married,Star,2018-11-22,,3891.54,Standard,True,Shaunna Books
333502,Shawnda,Valladares,Shawnda Valladares,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,College,Urban,0.0,Married,Star,2017-03-04,,3891.58,Standard,True,Shawnda Valladares
201574,Trudy,Roscoe,Trudy Roscoe,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Suburban,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,True,Trudy Roscoe
403361,Inell,Zeno,Inell Zeno,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,Bachelor,Rural,52361.0,Single,Star,2020-10-24,,3895.03,Standard,True,Inell Zeno
543918,Penni,Gess,Penni Gess,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,High School or Below,Urban,10853.0,Married,Star,2015-11-19,,3896.57,Standard,True,Penni Gess
806030,Rasheeda,Simenson,Rasheeda Simenson,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Female,Bachelor,Urban,60068.0,Married,Star,2021-05-03,,3903.47,Standard,True,Rasheeda Simenson
119200,Bari,Seraille,Bari Seraille,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Rural,51833.0,Divorced,Star,2020-05-08,,3903.8,Standard,True,Bari Seraille
175967,Jolyn,Podvin,Jolyn Podvin,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Suburban,60230.0,Married,Star,2021-02-15,,3906.67,2021 Promotion,True,Jolyn Podvin
238119,Aundrea,Difranco,Aundrea Difranco,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Rural,60230.0,Married,Star,2016-05-19,,3906.67,Standard,True,Aundrea Difranco
730388,Gaynelle,Garnette,Gaynelle Garnette,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Male,College,Rural,0.0,Single,Star,2015-05-02,,3907.03,Standard,True,Gaynelle Garnette
834891,Wendell,Besley,Wendell Besley,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Rural,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,True,Wendell Besley
127400,Cassandra,Easlick,Cassandra Easlick,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,College,Rural,0.0,Single,Star,2017-06-26,,3914.72,Standard,True,Cassandra Easlick
324557,Bethanie,Kolander,Bethanie Kolander,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,College,Urban,0.0,Single,Star,2016-02-24,,3914.72,Standard,True,Bethanie Kolander
742002,Carolyne,Purdue,Carolyne Purdue,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,College,Urban,0.0,Single,Star,2019-05-15,,3915.8,Standard,True,Carolyne Purdue
536567,Clint,Maravilla,Clint Maravilla,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Male,Bachelor,Suburban,66676.0,Married,Star,2019-05-12,,3919.37,Standard,True,Clint Maravilla
704835,Elvina,Kurtich,Elvina Kurtich,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Urban,66676.0,Married,Star,2019-09-17,,3919.37,Standard,True,Elvina Kurtich
733338,Raphael,Muskrat,Raphael Muskrat,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,True,Raphael Muskrat
758635,Stephany,Loft,Stephany Loft,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Suburban,66676.0,Married,Star,2021-06-20,,3919.37,Standard,True,Stephany Loft
823048,Echo,Wendy,Echo Wendy,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Urban,66676.0,Married,Star,2021-05-09,,3919.37,Standard,True,Echo Wendy
612905,Frankie,Lapitan,Frankie Lapitan,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,College,Rural,0.0,Married,Star,2018-02-28,,3920.51,Standard,True,Frankie Lapitan
679908,Deon,Biery,Deon Biery,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Female,Bachelor,Rural,62445.0,Married,Star,2018-08-15,,3921.02,Standard,True,Deon Biery
704150,Raymond,Hokkanen,Raymond Hokkanen,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Male,Bachelor,Urban,62445.0,Married,Star,2017-10-27,,3921.02,Standard,True,Raymond Hokkanen
869743,Sima,Parton,Sima Parton,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,True,Sima Parton
596179,Kathryne,Kloeck,Kathryne Kloeck,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,Bachelor,Suburban,25927.0,Single,Star,2017-03-28,,3933.81,Standard,True,Kathryne Kloeck
370450,Cathryn,Sundell,Cathryn Sundell,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,High School or Below,Urban,20920.0,Married,Star,2015-11-02,,3934.1,Standard,True,Cathryn Sundell
501030,Ciera,Kalfa,Ciera Kalfa,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Urban,84229.0,Married,Star,2020-03-25,,3934.71,Standard,True,Ciera Kalfa
878633,Victor,Toplin,Victor Toplin,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Doctor,Rural,19245.0,Married,Star,2016-12-02,,3936.79,Standard,True,Victor Toplin
285938,Glen,Randall,Glen Randall,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,Bachelor,Suburban,60021.0,Married,Star,2017-09-03,,3939.01,Standard,True,Glen Randall
588237,Teresia,Mckendry,Teresia Mckendry,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,Bachelor,Rural,60021.0,Married,Star,2016-11-25,,3939.01,Standard,True,Teresia Mckendry
645280,Natalya,Boardwine,Natalya Boardwine,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Male,Bachelor,Suburban,60021.0,Married,Star,2015-12-15,,3939.01,Standard,True,Natalya Boardwine
864324,Cherri,Flavell,Cherri Flavell,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Rural,60021.0,Married,Star,2021-06-03,,3939.01,Standard,True,Cherri Flavell
124678,Eddie,Ribsamen,Eddie Ribsamen,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Male,Doctor,Urban,18375.0,Married,Star,2016-06-13,,3954.34,Standard,True,Eddie Ribsamen
186015,Florrie,Thach,Florrie Thach,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Doctor,Rural,18375.0,Married,Star,2018-09-05,,3954.34,Standard,True,Florrie Thach
461108,Polly,Mayville,Polly Mayville,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Doctor,Urban,18375.0,Married,Star,2021-10-15,,3954.34,Standard,True,Polly Mayville
589580,Elodia,Kieffer,Elodia Kieffer,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Doctor,Suburban,18375.0,Married,Star,2018-08-27,,3954.34,Standard,True,Elodia Kieffer
623688,Dwayne,Cimaglia,Dwayne Cimaglia,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Female,Doctor,Rural,18375.0,Married,Star,2019-05-07,,3954.34,Standard,True,Dwayne Cimaglia
751616,Rocco,Niederhauser,Rocco Niederhauser,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Doctor,Suburban,18375.0,Married,Star,2021-04-17,,3954.34,2021 Promotion,True,Rocco Niederhauser
256147,Joleen,Gessford,Joleen Gessford,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,College,Suburban,0.0,Married,Star,2015-09-04,,3958.0,Standard,True,Joleen Gessford
329382,Ngoc,Dubuisson,Ngoc Dubuisson,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,College,Suburban,0.0,Single,Star,2015-08-27,,3961.59,2021 Promotion,True,Ngoc Dubuisson
140392,Hilary,Shain,Hilary Shain,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Rural,88701.0,Married,Star,2016-07-22,,3963.39,Standard,True,Hilary Shain
541008,Jeanmarie,Resch,Jeanmarie Resch,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Male,Bachelor,Suburban,38096.0,Divorced,Star,2021-04-04,,3963.4,2021 Promotion,True,Jeanmarie Resch
230908,Carmelia,Burkham,Carmelia Burkham,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Doctor,Suburban,23474.0,Divorced,Star,2015-05-27,,3964.15,Standard,True,Carmelia Burkham
972581,Quiana,Ciolli,Quiana Ciolli,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,High School or Below,Rural,14616.0,Married,Star,2019-02-13,,3964.53,Standard,True,Quiana Ciolli
357549,Elisha,Furna,Elisha Furna,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,Bachelor,Rural,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,True,Elisha Furna
157729,Tobi,Kriss,Tobi Kriss,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Male,Bachelor,Rural,72439.0,Married,Star,2021-03-18,,3966.13,2021 Promotion,False,Tobi Kriss
910875,Alaina,Rumble,Alaina Rumble,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Bachelor,Urban,72439.0,Married,Star,2015-11-03,,3966.13,Standard,True,Alaina Rumble
501704,Jadwiga,Howry,Jadwiga Howry,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,College,Suburban,0.0,Divorced,Star,2016-05-03,,3974.86,Standard,True,Jadwiga Howry
529098,Sherril,Roofner,Sherril Roofner,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,College,Urban,0.0,Divorced,Star,2020-10-23,,3974.86,Standard,True,Sherril Roofner
265297,Ebonie,Radde,Ebonie Radde,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Urban,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,True,Ebonie Radde
567875,Lady,Tlumacki,Lady Tlumacki,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Suburban,96413.0,Married,Star,2020-05-15,,3979.72,Standard,True,Lady Tlumacki
688524,Darius,Dehnert,Darius Dehnert,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Urban,98333.0,Married,Star,2016-03-26,,3980.42,Standard,True,Darius Dehnert
269070,Virginia,Swida,Virginia Swida,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Master,Rural,17220.0,Married,Star,2016-01-14,,3985.32,Standard,True,Virginia Swida
