,Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Cancelled,Time on Program,EnrollmentDay
0,480934,Cecilia,Householder,Cecilia Householder,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,,3839.14,Standard,N,1049 days,Friday
1,549612,Dayle,Menez,Dayle Menez,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Male,College,Rural,0.0,Divorced,Star,2019-03-09,,3839.61,Standard,N,1027 days,Saturday
2,429460,Necole,Hannon,Necole Hannon,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,Y,1274 days,Friday
3,608370,Queen,Hagee,Queen Hagee,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,College,Suburban,0.0,Single,Star,2016-02-17,,3839.75,Standard,N,2143 days,Wednesday
4,530508,Claire,Latting,Claire Latting,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,,3842.79,2021 Promotion,N,1527 days,Wednesday
6,927943,Hue,Sellner,Hue Sellner,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Female,College,Urban,0.0,Single,Star,2017-06-09,,3857.95,Standard,N,1665 days,Friday
7,188893,Nakia,Cash,Nakia Cash,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,,3861.49,Standard,N,753 days,Sunday
8,852392,Arlene,Conterras,Arlene Conterras,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,,3861.49,Standard,N,1310 days,Wednesday
9,866307,Dustin,Recine,Dustin Recine,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,,3861.49,Standard,N,808 days,Monday
10,932823,Jeremy,Dickason,Jeremy Dickason,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,,3863.31,Standard,N,1384 days,Saturday
11,144514,Belkis,Siurek,Belkis Siurek,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Female,Bachelor,Urban,24204.0,Married,Star,2019-06-11,,3864.78,Standard,N,933 days,Tuesday
12,611765,Marjorie,Pangelina,Marjorie Pangelina,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Male,Bachelor,Suburban,79628.0,Single,Star,2021-01-28,,3867.97,Standard,N,336 days,Thursday
13,988178,Andre,Cotugno,Andre Cotugno,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,College,Rural,0.0,Single,Star,2016-10-13,,3871.07,Standard,N,1904 days,Thursday
14,286114,Vikki,Rengers,Vikki Rengers,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,College,Rural,0.0,Single,Star,2019-11-29,,3872.22,Standard,N,762 days,Friday
15,205785,Johnathan,Cannizzaro,Johnathan Cannizzaro,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Male,Master,Rural,28142.0,Married,Star,2019-08-25,,3873.65,Standard,N,858 days,Sunday
16,735304,Lang,Privatsky,Lang Privatsky,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Female,Master,Urban,28142.0,Married,Star,2019-12-06,,3873.65,Standard,N,755 days,Friday
17,438936,Bernie,Schlagel,Bernie Schlagel,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,Bachelor,Rural,84981.0,Married,Star,2016-10-30,,3878.77,Standard,N,1887 days,Sunday
18,243713,Doloris,Buben,Doloris Buben,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Female,College,Rural,0.0,Married,Star,2021-02-09,,3883.4,2021 Promotion,N,324 days,Tuesday
19,354730,Herbert,Cantabrana,Herbert Cantabrana,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,College,Urban,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,Y,1167 days,Monday
20,413741,Mitchell,Hinchliff,Mitchell Hinchliff,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,College,Urban,0.0,Married,Star,2018-07-30,,3885.46,Standard,N,1249 days,Monday
21,552965,Lia,Broome,Lia Broome,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,College,Rural,0.0,Married,Star,2021-11-18,,3885.46,Standard,N,42 days,Thursday
22,642313,Michel,Theuret,Michel Theuret,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,College,Suburban,0.0,Married,Star,2019-03-22,,3885.46,Standard,N,1014 days,Friday
23,263080,Tracy,Hergenreter,Tracy Hergenreter,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,College,Urban,0.0,Single,Star,2017-05-21,,3886.5,Standard,N,1684 days,Sunday
24,109767,Ami,Grosbier,Ami Grosbier,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Bachelor,Suburban,78108.0,Single,Star,2019-05-21,,3886.65,Standard,N,954 days,Tuesday
25,217754,Mitzi,Roaoo,Mitzi Roaoo,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Female,Bachelor,Urban,96335.0,Single,Star,2018-06-20,,3887.32,Standard,N,1289 days,Wednesday
26,157005,Tanika,Quire,Tanika Quire,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Rural,91182.0,Married,Star,2019-10-31,,3890.87,Standard,N,791 days,Thursday
27,557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Bachelor,Suburban,91182.0,Married,Star,2020-10-09,,3890.87,Standard,N,447 days,Friday
28,608758,Rhona,Interiano,Rhona Interiano,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,Bachelor,Rural,43578.0,Married,Star,2016-07-15,,3890.96,Standard,N,1994 days,Friday
29,599341,Shaunna,Books,Shaunna Books,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,Bachelor,Rural,31409.0,Married,Star,2018-11-22,,3891.54,Standard,N,1134 days,Thursday
30,333502,Shawnda,Valladares,Shawnda Valladares,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,College,Urban,0.0,Married,Star,2017-03-04,,3891.58,Standard,N,1762 days,Saturday
31,201574,Trudy,Roscoe,Trudy Roscoe,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Suburban,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,Y,244 days,Friday
32,403361,Inell,Zeno,Inell Zeno,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,Bachelor,Rural,52361.0,Single,Star,2020-10-24,,3895.03,Standard,N,432 days,Saturday
33,543918,Penni,Gess,Penni Gess,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,High School or Below,Urban,10853.0,Married,Star,2015-11-19,,3896.57,Standard,N,2233 days,Thursday
34,806030,Rasheeda,Simenson,Rasheeda Simenson,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Female,Bachelor,Urban,60068.0,Married,Star,2021-05-03,,3903.47,Standard,N,241 days,Monday
35,119200,Bari,Seraille,Bari Seraille,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Rural,51833.0,Divorced,Star,2020-05-08,,3903.8,Standard,N,601 days,Friday
36,175967,Jolyn,Podvin,Jolyn Podvin,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Suburban,60230.0,Married,Star,2021-02-15,,3906.67,2021 Promotion,N,318 days,Monday
37,238119,Aundrea,Difranco,Aundrea Difranco,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Rural,60230.0,Married,Star,2016-05-19,,3906.67,Standard,N,2051 days,Thursday
38,730388,Gaynelle,Garnette,Gaynelle Garnette,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Male,College,Rural,0.0,Single,Star,2015-05-02,,3907.03,Standard,N,2434 days,Saturday
39,834891,Wendell,Besley,Wendell Besley,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Rural,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,Y,41 days,Sunday
40,127400,Cassandra,Easlick,Cassandra Easlick,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,College,Rural,0.0,Single,Star,2017-06-26,,3914.72,Standard,N,1648 days,Monday
41,324557,Bethanie,Kolander,Bethanie Kolander,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,College,Urban,0.0,Single,Star,2016-02-24,,3914.72,Standard,N,2136 days,Wednesday
42,742002,Carolyne,Purdue,Carolyne Purdue,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,College,Urban,0.0,Single,Star,2019-05-15,,3915.8,Standard,N,960 days,Wednesday
43,536567,Clint,Maravilla,Clint Maravilla,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Male,Bachelor,Suburban,66676.0,Married,Star,2019-05-12,,3919.37,Standard,N,963 days,Sunday
44,704835,Elvina,Kurtich,Elvina Kurtich,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Urban,66676.0,Married,Star,2019-09-17,,3919.37,Standard,N,835 days,Tuesday
45,733338,Raphael,Muskrat,Raphael Muskrat,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,Y,245 days,Monday
46,758635,Stephany,Loft,Stephany Loft,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Suburban,66676.0,Married,Star,2021-06-20,,3919.37,Standard,N,193 days,Sunday
47,823048,Echo,Wendy,Echo Wendy,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Urban,66676.0,Married,Star,2021-05-09,,3919.37,Standard,N,235 days,Sunday
48,612905,Frankie,Lapitan,Frankie Lapitan,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,College,Rural,0.0,Married,Star,2018-02-28,,3920.51,Standard,N,1401 days,Wednesday
